smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;50;180;-180.00;-180.00;50;-0.32405010;0.62829990;23.80;0.053928;0.028577;-0.34619984;0.61560010;23.81;0.051394;-0.036726
CW;1;157.5;157.50;157.50;50;-0.33490014;0.62664984;23.83;0.036289;0.024331;-0.34220004;0.62610008;23.84;0.067786;-0.032708
CW;2;270;270.00;112.50;50;-0.35395004;0.62729996;23.80;0.083562;0.000068;-0.33930000;0.64114980;23.89;0.020283;-0.007444
CCW;3;90;90.00;-180.00;50;-0.34514988;0.62589990;23.82;0.018523;-0.007842;-0.34620010;0.62099992;23.81;0.083811;-0.000229
CCW;4;67.5;67.50;-22.50;50;-0.33949992;0.63405016;23.84;0.021399;-0.019578;-0.33614992;0.62160004;23.89;0.077891;0.012266
CCW;5;337.5;-22.50;-90.00;50;-0.34259984;0.62959990;23.87;0.066272;-0.032146;-0.33345004;0.62455004;23.85;0.034475;0.024268
CCW;6;315;-45.00;-22.50;50;-0.34679996;0.63260010;23.86;0.076606;-0.024211;-0.33750004;0.64090020;23.88;0.026177;0.016455
CCW;7;270;-90.00;-45.00;50;-0.34515000;0.61785008;23.88;0.082129;0.000391;-0.34309996;0.62775004;23.83;0.018181;-0.008110
CCW;8;247.5;-112.50;-22.50;50;-0.35269996;0.62875000;23.85;0.078411;0.012034;-0.35610004;0.63475000;23.92;0.022144;-0.020066
CW;9;270;-90.00;22.50;50;-0.33724992;0.62054990;23.82;0.082571;0.000032;-0.34805000;0.63585000;23.81;0.019570;-0.007966
CW;10;67.5;67.50;157.50;50;-0.35099996;0.62049990;23.81;0.021709;-0.020205;-0.33805000;0.62114990;23.83;0.079128;0.011743
CW;11;202.5;202.50;135.00;50;-0.34254990;0.63610000;23.85;0.060771;0.027654;-0.35134992;0.61304984;23.83;0.043188;-0.035168
CW;12;315;315.00;112.50;50;-0.34909980;0.62145000;23.89;0.077271;-0.024202;-0.34465010;0.63615000;23.83;0.028274;0.016589
CW;13;315;315.00;0.00;50;-0.34695000;0.62219984;23.92;0.075959;-0.024260;-0.34850008;0.63165000;23.95;0.027935;0.016357
CCW;14;202.5;202.50;-112.50;50;-0.34144984;0.63230016;23.83;0.058816;0.027468;-0.35720004;0.63834996;23.89;0.043220;-0.035715
CW;15;0;360.00;157.50;50;-0.34484984;0.62409990;23.88;0.054480;-0.036587;-0.34784988;0.62665010;23.89;0.050181;0.028027
CW;16;157.5;157.50;157.50;50;-0.34500010;0.62639990;23.99;0.034441;0.023682;-0.34790010;0.60379992;23.92;0.065471;-0.032185
CCW;17;337.5;-22.50;-180.00;50;-0.34625004;0.62790008;23.89;0.066746;-0.032341;-0.34080000;0.62499992;23.84;0.034766;0.024648
CW;18;135;135.00;157.50;50;-0.33109996;0.63260000;23.80;0.024375;0.016453;-0.34964988;0.63430000;23.84;0.078391;-0.024353
CW;19;202.5;202.50;67.50;50;-0.34029996;0.62145008;23.85;0.060039;0.027295;-0.34995000;0.62029980;23.83;0.043540;-0.035854
CCW;20;157.5;157.50;-45.00;50;-0.34694988;0.64250000;23.80;0.034934;0.024351;-0.33910000;0.64144984;23.80;0.067412;-0.032244
CCW;21;112.5;112.50;-45.00;50;-0.35849996;0.64380016;23.85;0.019165;0.004854;-0.35655000;0.62605008;23.80;0.082737;-0.012554
CCW;22;22.5;22.50;-90.00;50;-0.34524996;0.63165000;23.80;0.042937;-0.035308;-0.34124990;0.62789992;23.80;0.059458;0.027793
CW;23;180;180.00;157.50;50;-0.33450000;0.61789996;23.80;0.045159;0.029014;-0.34879992;0.62695000;23.78;0.055374;-0.036462
CCW;24;135;135.00;-45.00;50;-0.35245000;0.64409984;23.80;0.025154;0.015881;-0.35539992;0.63524990;23.80;0.077234;-0.024136
CW;25;270;270.00;135.00;50;-0.34290000;0.62649996;23.80;0.083225;-0.000569;-0.34439996;0.64229984;23.80;0.020193;-0.007654
CW;26;45;45.00;45.00;50;-0.34469990;0.62735000;23.80;0.030706;-0.029797;-0.34229996;0.63325000;23.80;0.070391;0.021663
CCW;27;0;0.00;-45.00;50;-0.33860000;0.62979996;23.80;0.055347;-0.036956;-0.33474994;0.63695000;23.79;0.047388;0.028564
CW;28;22.5;22.50;22.50;50;-0.35950008;0.64830000;23.76;0.040723;-0.035632;-0.34355000;0.64685010;23.75;0.059929;0.027556
CCW;29;270;-90.00;-112.50;50;-0.34360000;0.63270000;23.80;0.081621;-0.000088;-0.33635004;0.63154990;23.78;0.017407;-0.008374
CW;30;22.5;22.50;112.50;50;-0.33265000;0.62915010;23.78;0.042771;-0.035996;-0.33595000;0.63475000;23.78;0.060112;0.027654
CW;31;112.5;112.50;90.00;50;-0.34765016;0.62660020;23.79;0.019387;0.005046;-0.33334994;0.62194990;23.80;0.083557;-0.013064
CW;32;157.5;157.50;45.00;50;-0.34409988;0.63614992;23.80;0.035510;0.024912;-0.34859992;0.63189996;23.79;0.067029;-0.032737
CCW;33;0;0.00;-157.50;50;-0.34019984;0.63354990;23.76;0.055469;-0.036531;-0.33710012;0.63944990;23.77;0.046423;0.028467
CW;34;22.5;22.50;22.50;50;-0.35405000;0.64940000;23.68;0.041716;-0.036321;-0.34364984;0.63635010;23.73;0.061416;0.027502
